INSERT_UPDATE Customer;uid[unique=true];customerID[unique=true];password;name
;test1@example.com;1;test1;test1
;test2@example.com;2;test2;test2
;test3@example.com;3;test3;test3
;test4@example.com;4;test4;test4
;test5@example.com;5;test5;test5
;test6@example.com;6;test6;test6

INSERT_UPDATE Organization;id[unique=true];name[lang=en];phone;email;customers(uid)
;1;Org1;11111111;Org1@example.com;
;2;Org2;22222222;Org2@example.com;test2@example.com,test3@example.com;test1@example.com
;3;Org3;33333333;Org3@example.com;test4@example.com,test5@example.com,test6@example.com,test1@example.com
